"m","p","tau","rho","width_us","width_riqite","cover_us","cover_riqite","quants_check"
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.5015015015015,-1.178,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.1011011011011,-0.379,TRUE,TRUE,0.6
100,0.6,1,0.1,-0.7007007007007,0.078,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.34034034034034,0.592,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.14014014014014,1.057,TRUE,TRUE,0.9
100,0.6,1,0.1,0.26026026026026,1.705,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.1021021021021,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.74174174174174,-2.033,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.02102102102102,-0.816,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.66066066066066,-0.143,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.62062062062062,0.24,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.46046046046046,0.91,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.02202202202202,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.54154154154154,-1.461,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.3013013013013,-0.636,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.7007007007007,-0.158,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.54054054054054,0.264,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.26026026026026,0.931,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.62262262262262,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-2.18218218218218,-1.46,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.82182182182182,-0.799,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.58158158158158,-0.358,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.46146146146146,0.068,TRUE,TRUE,0.9
100,0.6,1,0.1,-1.1011011011011,0.726,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.18118118118118,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.02102102102102,-1.106,TRUE,TRUE,0.6
100,0.6,1,0.1,-0.900900900900901,-0.74,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.7007007007007,-0.318,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.38038038038038,0.11,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.22022022022022,0.608,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.74274274274274,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-2.18218218218218,-2.383,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.86186186186186,-1.625,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.58158158158158,-1.178,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.38138138138138,-0.636,TRUE,TRUE,0.9
100,0.6,1,0.1,-1.1011011011011,0.024,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-1.86186186186186,-1.791,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.54154154154154,-0.946,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.3013013013013,-0.406,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.860860860860861,0.054,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.74074074074074,0.371,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.46046046046046,1.009,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.46246246246246,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.9019019019019,-2.355,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.74174174174174,-1.057,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.66166166166166,-0.427,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.38138138138138,0.339,TRUE,TRUE,0.9
100,0.6,1,0.1,-1.06106106106106,1.009,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.26226226226226,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.7017017017017,-1.43,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.18118118118118,-0.632,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.02102102102102,-0.143,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.7007007007007,0.228,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.62062062062062,0.884,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.58258258258258,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-2.18218218218218,-1.943,TRUE,TRUE,0.6
100,0.6,1,0.1,-2.06206206206206,-1.081,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.74174174174174,-0.621,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.42142142142142,-0.234,TRUE,TRUE,0.9
100,0.6,1,0.1,-1.22122122122122,0.454,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.22222222222222,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.62162162162162,-1.551,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.42142142142142,-0.809,TRUE,TRUE,0.7
100,0.6,1,0.1,-0.980980980980981,-0.413,TRUE,TRUE,0.8
100,0.6,1,0.1,-0.74074074074074,-0.025,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.58058058058058,0.524,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.5025025025025,-Inf,TRUE,TRUE,0.5
100,0.6,1,0.1,-2.14214214214214,-1.657,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.78178178178178,-0.797,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.46146146146146,-0.441,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.14114114114114,-0.025,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.820820820820821,0.569,TRUE,TRUE,1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.2
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.3
100,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.4
100,0.6,1,0.1,-2.02202202202202,-2.483,TRUE,TRUE,0.5
100,0.6,1,0.1,-1.62162162162162,-1.274,TRUE,TRUE,0.6
100,0.6,1,0.1,-1.42142142142142,-0.845,TRUE,TRUE,0.7
100,0.6,1,0.1,-1.3013013013013,-0.512,TRUE,TRUE,0.8
100,0.6,1,0.1,-1.06106106106106,-0.115,TRUE,TRUE,0.9
100,0.6,1,0.1,-0.780780780780781,0.656,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.34334334334334,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.82282282282282,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.38238238238238,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.74174174174174,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.3013013013013,-1.458,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.900900900900901,-0.845,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.54054054054054,-0.363,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.26026026026026,0.124,TRUE,TRUE,0.9
500,0.6,1,0.1,0.1001001001001,0.79,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.18318318318318,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.58258258258258,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.26226226226226,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.82182182182182,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.3013013013013,-1.565,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.900900900900901,-0.806,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.54054054054054,-0.341,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.14014014014014,0.088,TRUE,TRUE,0.9
500,0.6,1,0.1,0.18018018018018,0.711,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.58358358358358,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.5025025025025,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.02202202202202,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.46146146146146,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.1011011011011,-1.212,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.66066066066066,-0.538,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.34034034034034,-0.064,TRUE,TRUE,0.8
500,0.6,1,0.1,0.1001001001001,0.379,TRUE,TRUE,0.9
500,0.6,1,0.1,0.38038038038038,1.09,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.06306306306306,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.22222222222222,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-1.66166166166166,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.34134134134134,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.1011011011011,-1.147,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.66066066066066,-0.53,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.3003003003003,-0.116,TRUE,TRUE,0.8
500,0.6,1,0.1,0.02002002002002,0.309,TRUE,TRUE,0.9
500,0.6,1,0.1,0.34034034034034,0.926,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.58358358358358,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.74274274274274,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.42242242242242,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.78178178178178,-2.631,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.14114114114114,-1.29,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.780780780780781,-0.789,TRUE,TRUE,0.7
